Item ID,Item Name,CreditNotes ID,Product ID,Quantity,Total,Sub Total,Last Modified Time,Account,Created Time,Project ID,Discount Amount (BCY)
9465000000133758,CORNBITS B.B.Q FLAVOR 10X10X70GM,9465000000133752,9465000000066971,0.20,SAR 29.22,SAR 29.22,2024-09-23 18:08:36,9465000000000350,2024-08-03 16:47:43,,SAR 0.00
9465000000133760,CORNBITS SUPER GARLIC FLAVOR 10X10X70GM,9465000000133752,9465000000067016,0.40,SAR 58.43,SAR 58.43,2024-09-23 18:08:36,9465000000000350,2024-08-03 16:47:43,,SAR 0.00
9465000000379762,SAMYANG BULDAK CARBONERA 8X5X140GM/ساميانج بولداك كربونارا,9465000000379754,9465000000076751,0.50,SAR 75.00,SAR 75.00,2024-09-14 11:22:09,9465000000000350,2024-08-07 15:00:10,,SAR 0.00
9465000000407187,SENANDOMING WAG WAG RICE 8X5KG,9465000000407181,9465000000077216,1.00,SAR 165.22,SAR 165.22,2024-08-10 18:09:46,9465000000000350,2024-08-08 09:01:17,,SAR 0.00
9465000001286351,SAMYANG BULDAK 2XSPICY 8X5X140GM/ساميانج بولداك حار جدً,9465000001286347,9465000000076736,2.00,SAR 38.26,SAR 38.26,2024-08-27 11:24:04,9465000000000350,2024-08-15 16:25:43,,SAR 0.00
9465000001286353,SAMYANG BULDAK CHEESE 8X5X140GM/ساميانج بولداك بالجبنة,9465000001286347,9465000000076766,3.00,SAR 57.39,SAR 57.39,2024-08-27 11:24:04,9465000000000350,2024-08-15 16:25:43,,SAR 0.00
9465000001286355,SAMYANG BULDAK ORIGINAL(BLK) 8X5X140GM/ساميانج بولداك الأصلي,9465000001286347,9465000000076826,3.00,SAR 57.39,SAR 57.39,2024-08-27 11:24:04,9465000000000350,2024-08-15 16:25:43,,SAR 0.00
9465000001286357,SAMYANG BULDAK ORIGINAL(BLK) 8X5X140GM/ساميانج بولداك الأصلي,9465000001286347,9465000000076826,0.80,SAR 15.30,SAR 15.30,2024-08-27 11:24:04,9465000000000350,2024-08-15 16:25:43,,SAR 0.00
9465000001286359,SAMYANG BULDAK QUATTARO CHEESE 8X5X140GM/ساميانج بولداك بجبنة الكواترو,9465000001286347,9465000000076841,3.00,SAR 57.39,SAR 57.39,2024-08-27 11:24:04,9465000000000350,2024-08-15 16:25:43,,SAR 0.00
9465000001286361,SAMYANG BULDAK QUATTARO CHEESE 8X5X140GM/ساميانج بولداك بجبنة الكواترو,9465000001286347,9465000000076841,0.60,SAR 11.48,SAR 11.48,2024-08-27 11:24:04,9465000000000350,2024-08-15 16:25:43,,SAR 0.00
9465000001286363,KRUPUK(AGM)BAWANG CINCIN WARNA WARNI 50X200GM,9465000001286347,9465000000071171,5.00,SAR 15.22,SAR 15.22,2024-08-27 11:24:04,9465000000000350,2024-08-15 16:25:43,,SAR 0.00
9465000001286365,KRUPUK(AGM)BAWANG COLOURED 50X200GM,9465000001286347,9465000000071186,4.00,SAR 12.17,SAR 12.17,2024-08-27 11:24:04,9465000000000350,2024-08-15 16:25:43,,SAR 0.00
9465000001286367,KRUPUK(AGM)BAWANG 50X200GM,9465000001286347,9465000000071156,5.00,SAR 15.22,SAR 15.22,2024-08-27 11:24:04,9465000000000350,2024-08-15 16:25:43,,SAR 0.00
9465000001286369,DATU PUTI SOY SAUCE 12X1L,9465000001286347,9465000000067226,0.50,SAR 47.83,SAR 47.83,2024-08-27 11:24:04,9465000000000350,2024-08-15 16:25:43,,SAR 0.00
