CreditNotes ID,Credit Note Date,Credit Note Number,Credit Note Status,Customer ID,Sub Total (BCY),Total (BCY),Balance (BCY),Created Time,Currency Code,Exchange Rate,Sales Person ID,Last Modified Time,Discount Amount (BCY),Adjustment (BCY)
9465000000133752,03 Aug 2024,CN-00001,Closed,9465000000103795,SAR 87.65,SAR 101.00,SAR 0.00,2024-08-03 16:47:43,SAR,1.00,9465000000133538,2024-09-23 18:08:36,SAR 0.00,SAR 0.00
9465000000379754,07 Aug 2024,CN-00002,Closed,9465000000116711,SAR 75.00,SAR 86.00,SAR 0.00,2024-08-07 15:00:10,SAR,1.00,9465000000162172,2024-09-14 11:22:09,SAR 0.00,SAR 0.00
9465000000407181,08 Aug 2024,CN-00003,Closed,9465000000117866,SAR 165.22,SAR 190.00,SAR 0.00,2024-08-08 09:01:17,SAR,1.00,9465000000162172,2024-08-10 18:09:46,SAR 0.00,SAR 0.00
9465000001286347,13 Aug 2024,CN-00005,Closed,9465000000108151,SAR 576.10,SAR 663.00,SAR 0.00,2024-08-15 16:25:43,SAR,1.00,9465000000133536,2024-08-27 11:24:04,SAR 0.00,SAR 0.00
9465000002067048,22 Aug 2024,CN-00006,Closed,9465000000107315,SAR 285.20,SAR 328.00,SAR 0.00,2024-08-22 11:54:47,SAR,1.00,9465000000133536,2024-08-22 11:56:44,SAR 0.00,SAR 0.00
9465000002119901,24 Aug 2024,CN-00007,Closed,9465000000107315,SAR 70.14,SAR 81.00,SAR 0.00,2024-08-25 12:27:09,SAR,1.00,9465000000133536,2024-08-25 12:29:14,SAR 0.00,SAR 0.00
9465000003193080,02 Sep 2024,CN-00012,Closed,9465000003176281,SAR 125.22,SAR 144.00,SAR 0.00,2024-09-02 16:45:41,SAR,1.00,9465000000162172,2024-09-24 11:22:35,SAR 0.00,SAR 0.00
9465000003220332,03 Sep 2024,CN-00013,Closed,9465000000109273,SAR 28.70,SAR 33.00,SAR 0.00,2024-09-03 11:53:58,SAR,1.00,9465000000133540,2024-09-24 11:23:13,SAR 0.00,SAR 0.00
9465000003231198,03 Sep 2024,CN-00014,Void,9465000000107755,SAR 169.56,SAR 195.00,SAR 195.00,2024-09-03 15:07:10,SAR,1.00,9465000000133536,2024-09-24 11:41:05,SAR 0.00,SAR 0.00
9465000003319939,07 Sep 2024,CN-00016,Closed,9465000002106266,SAR 165.22,SAR 190.00,SAR 0.00,2024-09-07 11:21:36,SAR,1.00,9465000000133538,2024-09-24 11:37:41,SAR 0.00,SAR 0.00
9465000003352260,08 Sep 2024,CN-00017,Closed,9465000000152506,SAR 374.00,SAR 430.00,SAR 0.00,2024-09-08 12:30:46,SAR,1.00,9465000000162172,2024-09-08 12:37:42,SAR 0.00,SAR 0.00
9465000003352648,08 Sep 2024,CN-00018,Void,9465000000108261,SAR 50.00,SAR 58.00,SAR 58.00,2024-09-08 13:46:20,SAR,1.00,9465000000133536,2024-09-24 11:40:11,SAR 0.00,SAR 0.00
9465000003570130,16 Sep 2024,CN-00020,Closed,9465000000107161,SAR 19.13,SAR 22.00,SAR 0.00,2024-09-16 10:18:17,SAR,1.00,9465000000133536,2024-09-24 11:24:11,SAR 0.00,SAR 0.00
9465000003570172,16 Sep 2024,CN-00021,Closed,9465000000107161,SAR 8.70,SAR 10.00,SAR 0.00,2024-09-16 10:25:05,SAR,1.00,9465000000133536,2024-09-24 11:24:59,SAR 0.00,SAR 0.00
9465000003570577,16 Sep 2024,CN-00022,Closed,9465000000105819,SAR 39.13,SAR 45.00,SAR 0.00,2024-09-16 13:34:07,SAR,1.00,9465000000133536,2024-09-21 12:56:55,SAR 0.00,SAR 0.00
9465000003584312,17 Sep 2024,CN-00023,Closed,9465000000104279,SAR 22.43,SAR 26.00,SAR 0.00,2024-09-17 10:24:33,SAR,1.00,9465000000133538,2024-09-24 11:37:53,SAR 0.00,SAR 0.00
9465000003591972,17 Sep 2024,CN-00024,Closed,9465000000105533,SAR 97.74,SAR 112.00,SAR 0.00,2024-09-17 12:46:55,SAR,1.00,9465000000133536,2024-09-24 11:35:11,SAR 0.00,SAR 0.00
9465000003726233,21 Sep 2024,CN-00033,Closed,9465000000107315,SAR 53.87,SAR 62.00,SAR 0.00,2024-09-21 13:39:48,SAR,1.00,9465000000133536,2024-09-21 13:39:59,SAR 0.00,SAR 0.00
9465000003726361,21 Sep 2024,CN-00035,Closed,9465000000107799,SAR 63.05,SAR 73.00,SAR 0.00,2024-09-21 13:47:23,SAR,1.00,9465000000133536,2024-09-24 11:36:01,SAR 0.00,SAR 0.00
9465000003726473,21 Sep 2024,CN-00036,Closed,9465000000107579,SAR 125.88,SAR 145.00,SAR 0.00,2024-09-21 13:59:55,SAR,1.00,9465000000133536,2024-09-24 11:36:18,SAR 0.00,SAR 0.00
9465000003726623,21 Sep 2024,CN-00037,Closed,9465000000105203,SAR 26.09,SAR 30.00,SAR 0.00,2024-09-21 14:06:24,SAR,1.00,9465000000133536,2024-09-24 11:36:30,SAR 0.00,SAR 0.00
9465000003735141,21 Sep 2024,CN-00038,Closed,9465000000105577,SAR 28.24,SAR 32.00,SAR 0.00,2024-09-21 14:56:54,SAR,1.00,9465000000133536,2024-09-21 14:57:00,SAR 0.00,SAR 0.00
9465000003735258,21 Sep 2024,CN-00039,Closed,9465000000107293,SAR 12.03,SAR 14.00,SAR 0.00,2024-09-21 15:17:38,SAR,1.00,9465000000133536,2024-09-24 11:36:44,SAR 0.00,SAR 0.00
9465000003735378,21 Sep 2024,CN-00040,Closed,9465000000108261,SAR 50.00,SAR 58.00,SAR 0.00,2024-09-21 15:37:32,SAR,1.00,9465000000133536,2024-09-21 15:37:39,SAR 0.00,SAR 0.00
9465000003685017,21 Sep 2024,CN-00026,Closed,9465000000103795,SAR 67.83,SAR 78.00,SAR 0.00,2024-09-21 09:56:39,SAR,1.00,9465000000133538,2024-09-21 09:56:47,SAR 0.00,SAR 0.00
9465000003685109,21 Sep 2024,CN-00027,Closed,9465000000103575,SAR 82.61,SAR 95.00,SAR 0.00,2024-09-21 09:59:37,SAR,1.00,9465000000133538,2024-09-21 09:59:44,SAR 0.00,SAR 0.00
9465000003709547,21 Sep 2024,CN-00028,Closed,9465000000108437,SAR 105.20,SAR 121.00,SAR 0.00,2024-09-21 12:27:01,SAR,1.00,9465000000133536,2024-09-24 11:34:37,SAR 0.00,SAR 0.00
9465000003709771,21 Sep 2024,CN-00029,Closed,9465000000107315,SAR 54.00,SAR 62.00,SAR 0.00,2024-09-21 12:31:59,SAR,1.00,9465000000133536,2024-09-24 11:35:29,SAR 0.00,SAR 0.00
9465000003715197,21 Sep 2024,CN-00030,Closed,9465000000106105,SAR 84.27,SAR 97.00,SAR 0.00,2024-09-21 12:42:45,SAR,1.00,9465000000133536,2024-09-21 12:42:53,SAR 0.00,SAR 0.00
9465000003715819,21 Sep 2024,CN-00031,Closed,9465000000107095,SAR 56.48,SAR 65.00,SAR 0.00,2024-09-21 13:02:48,SAR,1.00,9465000000133536,2024-09-24 11:35:48,SAR 0.00,SAR 0.00
9465000003835903,24 Sep 2024,CN-00041,Closed,9465000000109779,SAR 81.45,SAR 94.00,SAR 0.00,2024-09-24 17:11:34,SAR,1.00,9465000000133540,2024-09-24 17:11:42,SAR 0.00,SAR 0.00
9465000003835993,24 Sep 2024,CN-00042,Closed,9465000000109185,SAR 13.91,SAR 16.00,SAR 0.00,2024-09-24 17:13:39,SAR,1.00,9465000000133540,2024-09-24 17:13:58,SAR 0.00,SAR 0.00
9465000003911607,26 Sep 2024,CN-00043,Closed,9465000000105335,SAR 56.77,SAR 65.00,SAR 0.00,2024-09-26 13:46:24,SAR,1.00,9465000000133536,2024-09-26 13:47:17,SAR 0.00,SAR 0.00
9465000003911647,26 Sep 2024,CN-00044,Closed,9465000000105577,SAR 37.72,SAR 43.00,SAR 0.00,2024-09-26 13:49:24,SAR,1.00,9465000000133536,2024-09-26 13:49:45,SAR 0.00,SAR 0.00
9465000003915066,26 Sep 2024,CN-00045,Closed,9465000000117866,SAR 75.00,SAR 86.00,SAR 0.00,2024-09-26 15:50:06,SAR,1.00,9465000000162172,2024-10-01 09:09:01,SAR 0.00,SAR 0.00
9465000003963145,28 Sep 2024,CN-00049,Closed,9465000000110065,SAR 18.26,SAR 21.00,SAR 0.00,2024-09-28 18:30:07,SAR,1.00,9465000000133540,2024-10-01 09:10:05,SAR 0.00,SAR 0.00
9465000004032802,30 Sep 2024,CN-00051,Closed,9465000000110439,SAR 5.22,SAR 6.00,SAR 0.00,2024-09-30 17:38:39,SAR,1.00,9465000000133540,2024-10-01 09:10:13,SAR 0.00,SAR 0.00
9465000003932513,28 Sep 2024,CN-00046,Closed,9465000000107667,SAR 144.04,SAR 166.00,SAR 0.00,2024-09-28 09:43:56,SAR,1.00,9465000000133536,2024-09-28 09:44:23,SAR 0.00,SAR 0.00
9465000003932665,28 Sep 2024,CN-00048,Closed,9465000000107667,SAR 13.84,SAR 16.00,SAR 0.00,2024-09-28 09:55:28,SAR,1.00,9465000000133536,2024-09-28 09:55:56,SAR 0.00,SAR 0.00
