Customer ID,Customer Name,Display Name,Status,Created Time,Company Name,First Name,Last Name,Last Modified Time,Customer Number,Customer Owner ID
9465000020349356,Ali Super Market Faisaliya,Ali Super Market Faisaliya,Active,2025-07-22 13:40:03,,,,2025-07-22 13:40:03,CS-874,9465000015598322
9465000020349152,Bakala Al Raudha Ai Raudha,Bakala Al Raudha Ai Raudha,Active,2025-07-22 11:47:09,,,,2025-07-22 11:47:09,CS-873,9465000015598322
9465000020332168,AL JARD WATANI PRODUCTS,AL JARD WATANI PRODUCTS,Active,2025-07-21 17:03:02,,,,2025-07-21 17:03:02,CS-872,
9465000020225443,Taqwa,Taqwa,Active,2025-07-20 12:40:55,,,,2025-07-20 12:40:55,CS-871,9465000015598322
9465000020222431,BROAST NUJOOM MAJAL/مؤسسة نجوم المجال,BROAST NUJOOM MAJAL/مؤسسة نجوم المجال,Active,2025-07-20 11:28:10,,,,2025-07-20 11:29:05,CS-870,9465000006136989
9465000020185537,Al Wafa  Thamveenath,Al Wafa  Thamveenath,Active,2025-07-19 20:37:48,,,,2025-07-19 20:37:48,CS-869,9465000015598322
9465000020112156,ROOM MESS,ROOM MESS,Active,2025-07-17 18:22:54,,,,2025-07-17 18:22:54,CS-868,9465000006136989
9465000019982963,NAF AL ABEER,NAF AL ABEER,Active,2025-07-17 12:45:25,,,,2025-07-17 12:45:25,CS-867,
9465000019906898,AAMIL MAHAL MADEENA NEW,AAMIL MAHAL MADEENA NEW,Active,2025-07-16 20:17:25,AAMIL MAHAL MADEENA NEW,,,2025-07-16 20:17:25,CS-866,9465000000096758
9465000019859206,KAPPAMILA SUPERMARKET RABIGH,KAPPAMILA SUPERMARKET RABIGH,Active,2025-07-16 11:24:41,KAPPAMILA SUPERMARKET RABIGH,,,2025-07-16 11:28:51,CS-865,9465000000096758
9465000019795142,Super Market Hala Al Mumayaza,Super Market Hala Al Mumayaza,Active,2025-07-15 13:16:34,,,,2025-07-15 13:16:34,CS-864,9465000015598322
9465000019791110,Makka  Stor  Sharafiya,Makka  Stor  Sharafiya,Active,2025-07-15 11:39:28,,,,2025-07-15 11:39:28,CS-863,9465000015598322
9465000019765324,Thamveenath Sada,Thamveenath Sada,Active,2025-07-14 22:59:12,,,,2025-07-14 22:59:12,CS-862,9465000015598322
9465000019765310,Saudi Super Market,Saudi Super Market,Active,2025-07-14 22:08:14,,,,2025-07-14 22:08:14,CS-861,9465000015598322
9465000019729265,Nujoom Bakala  Nahda,Nujoom Bakala  Nahda,Active,2025-07-14 13:49:45,,,,2025-07-14 13:49:45,CS-860,9465000015598322
9465000019698682,Super Market Rooya Thuwel,Super Market Rooya Thuwel,Active,2025-07-13 20:53:04,,,,2025-07-13 20:53:04,CS-859,9465000015598322
9465000019696080,Bakala Sook Layil Al Safa,Bakala Sook Layil Al Safa,Active,2025-07-13 14:00:31,,,,2025-07-13 14:00:31,CS-858,9465000015598322
9465000019677749,Thamveenath Nadha I Safa,Thamveenath Nadha I Safa,Active,2025-07-13 13:27:24,,,,2025-07-13 13:27:24,CS-857,9465000015598322
9465000019581320,Thamveenath Thakva,Thamveenath Thakva,Active,2025-07-10 12:15:43,,,,2025-07-10 12:15:43,CS-856,9465000015598322
9465000019576127,Afaak Madan Bakala,Afaak Madan Bakala,Active,2025-07-10 11:54:32,,,,2025-07-10 11:54:32,CS-855,9465000015598322
9465000019576055,Sana Bil Super Market,Sana Bil Super Market,Active,2025-07-10 11:19:50,,,,2025-07-10 11:19:50,CS-854,9465000015598322
9465000019567039,Bakala Fausiya,Bakala Fausiya,Active,2025-07-09 19:43:30,,,,2025-07-09 19:43:30,CS-853,9465000015598322
9465000019567025,Thamveenath Musthahlak,Thamveenath Musthahlak,Active,2025-07-09 19:28:31,,,,2025-07-09 19:28:31,CS-852,9465000015598322
9465000019544322,GHADEER (OSSAMA),GHADEER (OSSAMA),Active,2025-07-09 15:45:16,,,,2025-07-09 15:45:16,CS-851,
9465000019520001,Aswak Raihan  Riyadi,Aswak Raihan  Riyadi,Active,2025-07-08 21:56:36,,,,2025-07-08 21:56:36,CS-850,9465000015598322
9465000019500100,Aswak Raihan,Aswak Raihan,Active,2025-07-08 12:39:09,,,,2025-07-08 12:39:09,CS-849,9465000015598322
9465000019471464,Maida Baladi Mini Supermarket,Maida Baladi Mini Supermarket,Active,2025-07-08 10:08:56,,,,2025-07-08 10:08:56,CS-848,9465000015598322
9465000019455695,RUWAYDA AL RAIDA TRD EST.,RUWAYDA AL RAIDA TRD EST.,Active,2025-07-07 15:31:05,,,,2025-07-07 15:31:05,CS-847,9465000013757632
9465000019447362,Naaji Friend S Bakala Cambu,Naaji Friend S Bakala Cambu,Active,2025-07-07 10:34:09,,,,2025-07-07 10:34:09,CS-846,9465000015598322
9465000019372178,Bakala Bushra,Bakala Bushra,Active,2025-07-06 21:14:11,,,,2025-07-06 21:14:11,CS-845,9465000015598322
9465000019344829,Thamveenath Frusiya,Thamveenath Frusiya,Active,2025-07-05 21:04:50,Thamveenath Frusiya,,,2025-07-05 21:04:50,CS-844,9465000015598322
9465000019301571,Huda Cambu,Huda Cambu,Active,2025-07-05 12:28:47,Huda  Cambu,,,2025-07-05 12:28:47,CS-843,9465000015598322
9465000019224700,TODAY REFRIGERATORS FOR TRADE,TODAY REFRIGERATORS FOR TRADE,Active,2025-07-03 11:11:09,,,,2025-07-03 11:11:09,CS-842,
9465000018689356,ISMAYIL DRIVER,ISMAYIL DRIVER,Active,2025-07-01 10:33:49,,,,2025-07-01 10:33:49,CS-841,9465000015554301
9465000018453880,AREEJ AL YASMIN/مركز اريج الياسمين,AREEJ AL YASMIN/مركز اريج الياسمين,Active,2025-06-29 10:59:16,,,,2025-06-29 10:59:16,CS-840,9465000015554301
9465000018453149,BAKALA ZAWABIYAL KHAIR,BAKALA ZAWABIYAL KHAIR,Active,2025-06-29 09:39:33,,,,2025-06-29 09:39:33,CS-839,9465000006136989
9465000018219478,Super Market Rooya,Super Market Rooya,Active,2025-06-28 16:08:45,,,,2025-06-28 16:08:45,CS-838,9465000015598322
9465000018219262,Bakala Saudi Ya,Bakala Saudi Ya,Active,2025-06-28 13:19:08,,,,2025-06-28 13:19:08,CS-837,9465000015598322
9465000018125468,شركة الخليج الغربيه للاستيراد المحدوده,شركة الخليج الغربيه للاستيراد المحدوده,Active,2025-06-26 16:42:45,,,,2025-06-26 16:42:45,CS-836,
9465000017488960,MILAD SHAM/مطعم ذوق الحليفة الدمشقي,MILAD SHAM/مطعم ذوق الحليفة الدمشقي,Active,2025-06-23 14:37:23,,,,2025-06-23 14:37:23,CS-835,9465000006136989
9465000017217001,Bakala  Hair,Bakala  Hair,Active,2025-06-20 21:30:03,,,,2025-06-20 21:30:03,CS-834,9465000015598322
9465000017172969,Thamveenath Sahada,Thamveenath Sahada,Active,2025-06-19 12:11:46,,,,2025-06-19 12:11:46,CS-833,9465000015598322
9465000017172955,Aswak Hairath Thayiba Dhahabi,Aswak Hairath Thayiba Dhahabi,Active,2025-06-19 11:21:56,,,,2025-06-19 11:21:56,CS-832,9465000015598322
9465000017047942,AL KHAIR AL SAFA,AL KHAIR AL SAFA,Active,2025-06-17 17:26:33,,,,2025-06-17 17:26:33,CS-831,9465000015554301
9465000017047930,AL SAFA,AL SAFA,Active,2025-06-17 17:22:32,,,,2025-06-17 17:22:32,CS-830,9465000015554301
9465000016953808,BAKALA THAKADAM/شركة التقدم للمقاولات,BAKALA THAKADAM/شركة التقدم للمقاولات,Active,2025-06-16 10:10:02,,,,2025-06-16 10:10:02,CS-829,9465000006136989
9465000016943041,Thamveenath Reef Abuhoor,Thamveenath Reef Abuhoor,Active,2025-06-15 16:47:55,,,,2025-06-15 16:47:55,CS-828,9465000015598322
9465000016932599,BOOFIA RUKUN FADHAK,BOOFIA RUKUN FADHAK,Active,2025-06-15 16:21:49,,,,2025-06-15 16:21:49,CS-827,9465000006136989
9465000016918543,Thamveenath Basal,Thamveenath Basal,Active,2025-06-15 10:05:56,,,,2025-06-15 10:05:56,CS-826,9465000015598322
