Invoice ID,Invoice Number,Invoice Date,Invoice Status,Customer ID,Due Date,Discount (%),Sub Total (BCY),Discount Amount,Adjustment (BCY),Total (BCY),Sales Person ID,Created Time,Quote ID,Age In Days,Age Tier,Balance (BCY),Purchase Order#,Exchange Rate,Write Off Amount (BCY),Last Modified Time,Discount Amount (BCY),Discount Amount (FCY),Transaction Type,Status,Bill ID
9465000012244633,MTE-7000,25 Mar 2025,Closed,9465000012244621,25 Mar 2025,0.00%,"SAR 6,025.00",SAR 0.00K,SAR 0.00,"6,929.00",9465000000162172,2025-03-25 11:43:07,,122,4. 91 - 180 days,0.00,BILL RELATED RAFEEQ NOT MADA,1.00,"SAR 6,929.00",2025-06-29 17:01:02,SAR 0.00,SAR 0.00,invoice,Closed,
9465000003510514,MTE-4642,14 Sep 2024,Closed,9465000000105731,14 Sep 2024,0.00%,"SAR 2,306.64",SAR 0.00K,SAR 0.00,"2,653.00",9465000000133536,2024-09-14 17:51:26,,314,5. Above 180 days,0.00,,1.00,SAR 861.00,2024-09-21 13:24:32,SAR 0.00,SAR 0.00,invoice,Closed,
9465000002070256,MTE-4361,22 Aug 2024,Closed,9465000000117866,22 Aug 2024,0.00%,SAR 410.00,SAR 0.00K,SAR 0.00,472.00,9465000000162172,2024-08-22 16:42:29,,337,5. Above 180 days,0.00,,1.00,SAR 472.00,2025-01-19 12:43:35,SAR 0.00,SAR 0.00,invoice,Closed,
9465000006205510,MTE-5784,24 Nov 2024,Closed,9465000000117866,24 Nov 2024,0.00%,SAR 191.30,SAR 0.00K,SAR 0.00,220.00,9465000000162172,2024-11-24 10:40:18,,243,5. Above 180 days,0.00,,1.00,SAR 220.00,2025-01-19 12:46:03,SAR 0.00,SAR 0.00,invoice,Closed,
9465000000121910,OPENING BALANCE - 0048,03 Aug 2024,Closed,9465000000107425,03 Aug 2024,0.00%,SAR 166.00,SAR 0.00K,SAR 0.00,166.00,9465000000133536,2024-08-03 13:39:43,,356,5. Above 180 days,0.00,,1.00,SAR 166.00,2024-09-21 15:21:56,SAR 0.00,SAR 0.00,invoice,Closed,
9465000006350768,MTE-5846,01 Dec 2024,Closed,9465000006854536,01 Dec 2024,0.00%,"SAR 2,415.65",SAR 0.00K,SAR 0.00,"2,778.00",9465000006350932,2024-12-01 17:45:46,,236,5. Above 180 days,0.00,,1.00,SAR 157.00,2025-01-17 09:34:10,SAR 0.00,SAR 0.00,invoice,Closed,
9465000004344086,MTE-5121,07 Oct 2024,Closed,9465000000109581,07 Oct 2024,0.00%,"SAR 5,442.59",SAR 0.00K,SAR 0.00,"6,259.00",9465000000133540,2024-10-07 16:36:52,,291,5. Above 180 days,0.00,,1.00,SAR 150.00,2024-10-31 08:33:30,SAR 0.00,SAR 0.00,invoice,Closed,
9465000000343931,OPENING BALANCE - 0072,06 Aug 2024,Closed,9465000000109273,06 Aug 2024,0.00%,SAR 149.00,SAR 0.00K,SAR 0.00,149.00,9465000000133540,2024-08-06 13:25:51,,353,5. Above 180 days,0.00,,1.00,SAR 149.00,2024-10-31 08:36:15,SAR 0.00,SAR 0.00,invoice,Closed,
9465000004062243,MTE-4993,01 Oct 2024,Closed,9465000000108987,01 Oct 2024,0.00%,SAR 128.61,SAR 0.00K,SAR 0.00,148.00,9465000000133540,2024-10-01 14:05:02,,297,5. Above 180 days,0.00,,1.00,SAR 148.00,2024-10-06 09:40:12,SAR 0.00,SAR 0.00,invoice,Closed,
9465000013909394,MTE-7336,24 Apr 2025,Closed,9465000013878973,09 May 2025,0.00%,SAR 845.25,SAR 0.00K,SAR 0.00,972.00,9465000000162172,2025-04-24 11:19:14,9465000013881694,92,4. 91 - 180 days,0.00,,1.00,SAR 142.00,2025-05-15 13:09:19,SAR 0.00,SAR 0.00,invoice,Closed,
9465000004562055,MTE-5198,13 Oct 2024,Closed,9465000000117866,13 Oct 2024,0.00%,SAR 200.00,SAR 0.00K,SAR 0.00,230.00,9465000000162172,2024-10-13 10:06:39,,285,5. Above 180 days,0.00,,1.00,SAR 120.00,2025-01-19 12:44:26,SAR 0.00,SAR 0.00,invoice,Closed,
9465000004467838,MTE-5154,09 Oct 2024,Closed,9465000000117866,09 Oct 2024,0.00%,"SAR 5,750.00",SAR 0.00K,SAR 0.00,"6,613.00",9465000000162172,2024-10-09 11:06:03,,289,5. Above 180 days,0.00,,1.00,SAR 113.00,2025-01-19 12:43:14,SAR 0.00,SAR 0.00,invoice,Closed,
9465000003911879,MTE-4899,26 Sep 2024,Closed,9465000000328043,26 Sep 2024,0.00%,"SAR 1,060.00",SAR 0.00K,SAR 0.00,"1,219.00",9465000000162172,2024-09-26 15:15:48,,302,5. Above 180 days,0.00,,1.00,SAR 103.50,2025-04-17 09:59:19,SAR 0.00,SAR 0.00,invoice,Closed,
9465000003642579,MTE-4751,19 Sep 2024,Closed,9465000000108877,19 Sep 2024,0.00%,SAR 164.35,SAR 0.00K,SAR 0.00,189.00,9465000000133540,2024-09-19 13:48:01,,309,5. Above 180 days,0.00,,1.00,SAR 101.00,2024-09-22 18:27:50,SAR 0.00,SAR 0.00,invoice,Closed,
9465000003181616,MTE-4468,01 Sep 2024,Closed,9465000000105819,01 Sep 2024,0.00%,SAR 429.13,SAR 0.00K,SAR 0.00,494.00,9465000000133536,2024-09-01 21:43:40,,327,5. Above 180 days,0.00,,1.00,SAR 88.00,2024-09-21 14:09:32,SAR 0.00,SAR 0.00,invoice,Closed,
9465000004017397,MTE-4969,30 Sep 2024,Closed,9465000000108723,30 Sep 2024,0.00%,SAR 262.61,SAR 0.00K,SAR 0.00,302.00,9465000000133540,2024-09-30 12:12:57,9465000004006385,298,5. Above 180 days,0.00,,1.00,SAR 84.00,2024-10-02 15:58:00,SAR 0.00,SAR 0.00,invoice,Closed,
9465000002181038,MTE-4402,26 Aug 2024,Closed,9465000000107909,26 Aug 2024,0.00%,"SAR 1,390.42",SAR 0.00K,SAR 0.00,"1,599.00",9465000000133536,2024-08-26 12:51:56,,333,5. Above 180 days,0.00,,1.00,SAR 40.00,2025-07-24 10:16:12,SAR 0.00,SAR 0.00,invoice,Closed,
9465000002035219,MTE-4319,20 Aug 2024,Closed,9465000002035111,20 Aug 2024,0.00%,SAR 28.69,SAR 0.00K,SAR 0.00,33.00,9465000000162172,2024-08-20 14:10:53,,339,5. Above 180 days,0.00,,1.00,SAR 33.00,2025-06-29 15:46:56,SAR 0.00,SAR 0.00,invoice,Closed,
9465000014134017,MTE-7422,29 Apr 2025,Closed,9465000000104389,29 Apr 2025,0.00%,SAR 52.17,SAR 0.00K,SAR 0.00,60.00,9465000000133538,2025-04-29 13:30:54,,87,3. 61 - 90 days,0.00,,1.00,SAR 33.00,2025-05-12 09:27:56,SAR 0.00,SAR 0.00,invoice,Closed,
9465000004718524,MTE-5294,19 Oct 2024,Closed,9465000000117866,19 Oct 2024,0.00%,"SAR 1,412.00",SAR 0.00K,SAR 0.00,"1,624.00",9465000000162172,2024-10-19 11:16:30,,279,5. Above 180 days,0.00,,1.00,SAR 24.00,2024-10-28 08:32:34,SAR 0.00,SAR 0.00,invoice,Closed,
9465000013799805,MTE-7288,21 Apr 2025,Closed,9465000007073135,06 May 2025,0.00%,"SAR 5,234.40",SAR 0.00K,SAR 0.00,"6,020.00",9465000000162172,2025-04-21 13:40:33,9465000013798588,95,4. 91 - 180 days,0.00,,1.00,SAR 20.00,2025-04-30 09:26:25,SAR 0.00,SAR 0.00,invoice,Closed,
9465000009699523,MTE-6560,10 Feb 2025,Closed,9465000006043116,10 Feb 2025,0.00%,SAR 521.74,SAR 0.00K,SAR 0.00,600.00,9465000006350932,2025-02-10 17:20:35,,165,4. 91 - 180 days,0.00,,1.00,SAR 20.00,2025-02-21 18:15:04,SAR 0.00,SAR 0.00,invoice,Closed,
9465000007038218,MTE-6022,23 Dec 2024,Closed,9465000000105665,07 Jan 2025,0.00%,SAR 517.39,SAR 0.00K,SAR 0.00,595.00,9465000000133536,2024-12-23 20:15:13,,214,5. Above 180 days,0.00,,1.00,SAR 19.00,2025-01-26 11:51:37,SAR 0.00,SAR 0.00,invoice,Closed,
9465000007189807,MTE-6132,02 Jan 2025,Closed,9465000000105731,17 Jan 2025,0.00%,SAR 147.83,SAR 0.00K,SAR 0.00,170.00,9465000000133536,2025-01-02 10:45:18,,204,5. Above 180 days,0.00,,1.00,SAR 17.00,2025-01-26 11:50:32,SAR 0.00,SAR 0.00,invoice,Closed,
9465000006214084,MTE-5786,24 Nov 2024,Closed,9465000006741162,24 Nov 2024,0.00%,"SAR 1,231.32",SAR 0.00K,SAR 0.00,"1,416.00",9465000006350932,2024-11-24 13:12:44,,243,5. Above 180 days,0.00,,1.00,SAR 16.00,2024-12-21 12:51:54,SAR 0.00,SAR 0.00,invoice,Closed,
9465000002073640,MTE-4355,22 Aug 2024,Closed,9465000000103949,22 Aug 2024,0.00%,SAR 90.65,SAR 0.00K,SAR 0.00,104.00,9465000000133538,2024-08-22 12:50:51,,337,5. Above 180 days,0.00,,1.00,SAR 16.00,2024-09-21 09:57:46,SAR 0.00,SAR 0.00,invoice,Closed,
9465000015565634,MTE-7820,25 May 2025,Closed,9465000000117866,25 May 2025,0.00%,SAR 479.00,SAR 0.00K,SAR 0.00,551.00,9465000000162172,2025-05-25 07:30:05,,61,3. 61 - 90 days,0.00,,1.00,SAR 16.00,2025-05-26 09:15:46,SAR 0.00,SAR 0.00,invoice,Closed,
9465000018239707,MTE-8378,28 Jun 2025,Closed,9465000000117866,28 Jun 2025,0.00%,"SAR 1,143.31",SAR 0.00K,SAR 0.00,"1,315.00",9465000000162172,2025-06-28 09:52:36,,27,2. 31 - 60 days,0.00,,1.00,SAR 15.00,2025-06-28 16:22:33,SAR 0.00,SAR 0.00,invoice,Closed,
9465000003968052,MTE-4936,28 Sep 2024,Closed,9465000000105731,28 Sep 2024,0.00%,"SAR 1,320.10",SAR 0.00K,SAR 0.00,"1,518.00",9465000000133536,2024-09-28 23:47:05,,300,5. Above 180 days,0.00,,1.00,SAR 14.00,2024-10-03 14:39:18,SAR 0.00,SAR 0.00,invoice,Closed,
9465000007264250,MTE-6168,06 Jan 2025,Closed,9465000006043116,06 Jan 2025,0.00%,SAR 580.01,SAR 0.00K,SAR 0.00,667.00,9465000006350932,2025-01-06 15:31:10,,200,5. Above 180 days,0.00,,1.00,SAR 10.00,2025-01-17 09:27:57,SAR 0.00,SAR 0.00,invoice,Closed,
9465000009778135,MTE-6648,18 Feb 2025,Closed,9465000006737226,18 Feb 2025,0.00%,"SAR 1,226.09",SAR 0.00K,SAR 0.00,"1,410.00",9465000006350932,2025-02-18 15:36:43,,157,4. 91 - 180 days,0.00,,1.00,SAR 10.00,2025-02-23 16:03:07,SAR 0.00,SAR 0.00,invoice,Closed,
