Transfer Order ID,Order Number,Status,Source Warehouse,Destination Warehouse,Created Time,Last Modified Time
9465000001087050,ASIR TRFR-1-1,transferred,9465000000009056,9465000000009078,2024-08-12 11:46:29,2024-08-16 22:26:00
9465000001107489,TO-00001,transferred,9465000000009056,9465000000009109,2024-08-12 13:57:32,2024-08-22 10:20:02
9465000001338001,TO-00002,transferred,9465000000009056,9465000000009109,2024-08-16 18:03:22,2024-08-26 16:38:01
9465000001338303,TO-00003,transferred,9465000000009109,9465000000009056,2024-08-16 18:03:53,2024-08-16 18:04:23
9465000001739413,TO-00007,transferred,9465000000009056,9465000000009078,2024-08-17 13:19:51,2024-09-12 12:35:42
9465000001739521,TO-00008,transferred,9465000000009056,9465000000009078,2024-08-17 14:16:15,2024-08-17 14:16:51
9465000001756201,TO-00010,transferred,9465000000009056,9465000000009078,2024-08-18 08:50:04,2024-09-18 17:04:41
9465000001768285,TO-00011,transferred,9465000000009056,9465000000009109,2024-08-18 11:04:50,2024-08-18 11:05:21
9465000001993117,TO-00012,transferred,9465000000009056,9465000000009078,2024-08-19 14:11:03,2025-01-12 17:26:43
9465000001995525,TO-00013,transferred,9465000000009078,9465000000009056,2024-08-19 14:30:36,2024-08-27 11:24:55
9465000002002033,TO-00014,transferred,9465000000009056,9465000000093344,2024-08-19 15:26:02,2024-10-28 10:50:04
9465000002002639,TO-00015,transferred,9465000000009056,9465000000009109,2024-08-19 15:46:45,2024-08-25 20:44:22
9465000002093238,TO-00017,transferred,9465000000009056,9465000000009109,2024-08-24 16:27:43,2024-09-18 17:04:41
9465000002093684,TO-00018,transferred,9465000000009056,9465000000009109,2024-08-24 16:35:16,2024-09-18 17:04:41
9465000002129097,TO-00020,transferred,9465000000009056,9465000000009109,2024-08-25 15:56:28,2024-08-25 16:12:16
9465000003052627,TO-00021,transferred,9465000000009056,9465000000009109,2024-08-27 12:22:54,2024-08-27 12:23:46
9465000003089146,TO-00023,transferred,9465000000009109,9465000000009056,2024-08-27 15:55:20,2024-08-27 15:55:50
9465000003205001,TO-00027,transferred,9465000000009056,9465000000009109,2024-09-03 10:33:21,2024-11-10 11:09:09
9465000003205538,TO-00028,transferred,9465000000009056,9465000000009109,2024-09-03 10:39:33,2024-09-03 10:40:12
9465000003205912,TO-00029,transferred,9465000000009109,9465000000009056,2024-09-03 10:40:26,2024-09-03 10:41:11
9465000003205950,TO-00030,transferred,9465000000009056,9465000000009109,2024-09-03 10:49:18,2024-09-03 10:50:12
9465000003218342,TO-00031,transferred,9465000000009056,9465000000009109,2024-09-03 11:27:25,2025-01-26 13:59:45
9465000003231246,TO-00032,transferred,9465000000009109,9465000000009056,2024-09-03 15:16:05,2024-09-03 15:16:47
9465000003336006,TO-00034,transferred,9465000000009056,9465000000009109,2024-09-07 14:33:21,2024-09-07 14:34:00
9465000003336290,TO-00035,transferred,9465000000009056,9465000000009109,2024-09-07 14:38:32,2024-09-07 14:39:01
9465000003384525,TO-00036,transferred,9465000000009056,9465000000009109,2024-09-11 09:47:49,2024-09-11 10:51:46
9465000003400277,TO-00038,transferred,9465000000009056,9465000000009109,2024-09-11 10:00:51,2024-09-11 10:50:33
9465000003413547,TO-00040,transferred,9465000000009056,9465000000009109,2024-09-11 11:01:59,2025-01-12 17:26:43
9465000003511097,TO-00043,transferred,9465000000009056,9465000000009109,2024-09-14 08:43:57,2024-09-14 08:44:44
9465000003537545,TO-00045,transferred,9465000000009056,9465000000009109,2024-09-14 13:39:57,2024-09-17 11:00:58
9465000003551848,TO-00046,transferred,9465000000009056,9465000000009078,2024-09-15 08:44:00,2025-01-12 17:06:42
9465000003584466,TO-00047,transferred,9465000000009056,9465000000009109,2024-09-17 11:05:19,2025-01-12 17:26:43
9465000003599083,TO-00050,transferred,9465000000009056,9465000000009109,2024-09-17 15:48:42,2024-12-18 16:24:49
9465000003664051,TO-00053,transferred,9465000000009056,9465000003525082,2024-09-21 08:43:29,2024-09-21 08:45:16
9465000003798447,TO-00054,transferred,9465000000009056,9465000000009109,2024-09-24 09:53:42,2024-09-26 13:10:05
9465000003798681,TO-00055,transferred,9465000000009056,9465000000009109,2024-09-24 09:57:49,2024-09-24 09:58:18
9465000003798931,TO-00056,transferred,9465000000009056,9465000000009078,2024-09-24 09:59:49,2024-09-24 10:02:24
9465000003816124,TO-00057,transferred,9465000000009056,9465000003525082,2024-09-24 10:44:12,2024-09-24 11:44:12
9465000003826447,TO-00059,transferred,9465000000009109,9465000000009056,2024-09-24 11:54:46,2024-09-24 11:55:27
9465000003835009,TO-00060,transferred,9465000000009056,9465000000009109,2024-09-24 16:59:43,2024-09-24 17:00:05
9465000003835581,TO-00061,transferred,9465000000009056,9465000000009109,2024-09-24 17:04:27,2024-09-24 17:05:04
9465000003849508,TO-00062,transferred,9465000000009056,9465000000009078,2024-09-24 18:12:35,2024-10-28 10:50:04
9465000003851674,TO-00063,transferred,9465000000009056,9465000003525082,2024-09-24 18:45:14,2024-09-26 12:13:54
9465000003890419,TO-00064,transferred,9465000000009056,9465000000009109,2024-09-26 12:24:03,2024-09-26 13:10:05
9465000003890649,TO-00065,transferred,9465000000009056,9465000003525082,2024-09-26 12:28:59,2024-09-26 12:29:04
9465000003890863,TO-00066,transferred,9465000000009056,9465000000009109,2024-09-26 12:33:01,2024-09-26 13:10:05
9465000003946693,TO-00069,transferred,9465000000009078,9465000000009109,2024-09-28 15:34:49,2024-09-28 15:34:52
9465000003946745,TO-00070,transferred,9465000000009056,9465000000009078,2024-09-28 15:39:51,2024-09-28 15:39:59
9465000004027343,TO-00072,transferred,9465000000009056,9465000000009109,2024-09-30 15:48:20,2024-09-30 15:48:42
9465000004027413,TO-00073,transferred,9465000000009056,9465000003525082,2024-09-30 15:50:15,2024-09-30 15:52:23
9465000003989208,TO-00071,transferred,9465000000009056,9465000000009109,2024-09-29 18:40:27,2024-09-29 18:40:59
9465000004105640,TO-00076,transferred,9465000000009056,9465000000009078,2024-10-03 12:29:25,2024-10-03 12:29:56
9465000004105672,TO-00077,transferred,9465000000009056,9465000000009109,2024-10-03 12:33:38,2024-10-03 12:34:26
9465000004232736,TO-00079,transferred,9465000000009056,9465000003525082,2024-10-05 13:27:41,2024-10-05 13:27:48
9465000004240346,TO-00080,transferred,9465000000009056,9465000000009109,2024-10-05 13:35:30,2024-10-05 13:36:02
9465000004266464,TO-00082,transferred,9465000000009056,9465000000009109,2024-10-05 17:18:44,2024-10-05 17:19:37
9465000004282677,TO-00083,transferred,9465000000009056,9465000003525082,2024-10-06 11:43:06,2024-10-06 12:41:02
9465000004282907,TO-00084,transferred,9465000000009056,9465000000009109,2024-10-06 11:47:26,2024-10-06 12:41:02
9465000004314177,TO-00085,transferred,9465000000009056,9465000000093344,2024-10-06 15:28:55,2024-10-06 15:28:59
9465000004328016,TO-00086,transferred,9465000000009056,9465000003525082,2024-10-07 11:04:00,2024-10-07 11:04:32
9465000004429433,TO-00091,transferred,9465000000009056,9465000000093344,2024-10-08 17:48:01,2024-10-28 10:50:04
9465000004446949,TO-00096,transferred,9465000000009056,9465000003525082,2024-10-09 11:32:50,2024-10-09 11:32:56
9465000004467104,TO-00093,transferred,9465000000009056,9465000000093344,2024-10-09 10:46:45,2024-10-09 10:46:49
9465000004467396,TO-00094,transferred,9465000000009056,9465000000009109,2024-10-09 11:00:02,2024-10-09 11:00:37
9465000004467752,TO-00095,transferred,9465000000009109,9465000000009056,2024-10-09 11:03:26,2024-10-09 11:04:07
9465000004566683,TO-00099,transferred,9465000000009056,9465000003525082,2024-10-13 15:51:28,2024-10-13 15:52:27
9465000004582362,TO-00101,transferred,9465000000009056,9465000003525082,2024-10-14 15:11:55,2024-10-14 15:12:29
9465000004546070,TO-00097,transferred,9465000000009056,9465000003525082,2024-10-12 17:20:10,2024-10-12 17:20:55
9465000004552053,TO-00098,transferred,9465000000009056,9465000000093344,2024-10-12 17:41:24,2024-10-12 17:41:56
9465000004612410,TO-00103,transferred,9465000000009056,9465000003525082,2024-10-15 12:03:50,2024-10-15 12:03:59
9465000004629001,TO-00104,draft,9465000000009056,9465000000009109,2024-10-15 14:39:20,2024-10-15 14:39:20
9465000004685737,TO-00105,transferred,9465000000009056,9465000000093344,2024-10-17 17:41:11,2024-10-17 17:41:43
9465000004692169,TO-00106,transferred,9465000000009056,9465000000009109,2024-10-17 17:44:21,2024-10-20 14:44:23
9465000004767354,TO-00107,transferred,9465000000009056,9465000003525082,2024-10-20 14:58:08,2024-10-20 14:58:19
9465000005136646,TO-00110,transferred,9465000000009056,9465000003525082,2024-10-29 10:47:40,2024-10-29 10:48:23
9465000005411192,TO-00111,transferred,9465000000009056,9465000000009078,2024-11-08 10:58:44,2024-11-08 10:58:59
9465000007875092,TO-00113,transferred,9465000000009056,9465000000009109,2025-01-15 10:54:12,2025-01-15 10:54:33
9465000005746308,TO-00112,transferred,9465000000009078,9465000000009109,2024-11-09 12:43:56,2025-02-23 12:38:48
