Vendor ID,Vendor Name,Display Name,First Name,Last Name,Created Time,Company Name,Currency Code,Status,Last Modified Time,Vendor Number
9465000000144929,ESNAD CO LTD,ESNAD CO LTD,,,2024-08-05 10:33:06,,SAR,Active,2024-08-05 10:40:49,VEN-00003
9465000000152824,AL BAHAR SERVICE TRADING EST.,AL BAHAR SERVICE TRADING EST.,,,2024-08-05 11:43:23,,SAR,Active,2024-09-17 11:19:47,VEN-00004
9465000000158707,AREES/شركة أريس المتطورة للتجارة,AREES/شركة أريس المتطورة للتجارة,,,2024-08-05 14:25:13,,SAR,Active,2024-12-16 10:42:26,VEN-00008
9465000000158778,ASIANCART CO. LTD,ASIANCART CO. LTD,,,2024-08-05 14:44:49,,SAR,Active,2024-09-25 09:39:57,VEN-00010
9465000000160794,KHAIRATH AL AROOS FOR TRADING EST,KHAIRATH AL AROOS FOR TRADING EST,,,2024-08-05 14:21:21,KHAIRATH AL AROOS FOR TRADING EST,SAR,Active,2024-08-07 11:06:57,VEN-00007
9465000000160913,SAFA JEDDAH TRADING COMPANY,SAFA JEDDAH TRADING COMPANY,,,2024-08-05 14:35:19,SAFA JEDDAH TRADING COMPANY,SAR,Active,2024-08-05 16:23:46,VEN-00009
9465000000162001,GOLDEN ALGAMAH EST,GOLDEN ALGAMAH EST,,,2024-08-05 15:50:58,,SAR,Active,2024-12-15 15:53:36,VEN-00012
9465000000184812,MAJID PAYABLES,MAJID PAYABLES,,,2024-08-05 17:26:26,,SAR,Active,2025-02-04 10:22:22,VEN-00014
9465000000184835,SADIQ PAYABLES,SADIQ PAYABLES,,,2024-08-05 17:26:50,,SAR,Active,2024-08-06 11:36:37,VEN-00015
9465000000184858,HAMZA PAYABLES,HAMZA PAYABLES,,,2024-08-05 17:27:07,,SAR,Active,2024-08-06 11:36:09,VEN-00016
9465000000193143,GHADEER RICE DEPTMENT,GHADEER RICE DEPTMENT,,,2024-08-05 19:07:55,,SAR,Active,2024-12-16 10:19:10,VEN-00018
9465000000366259,GHADEER FROZEN DEPARTMENT,GHADEER FROZEN DEPARTMENT,,,2024-08-07 10:17:37,,SAR,Active,2025-02-07 09:44:38,VEN-00037
9465000000376309,CASH PURCHASE,CASH PURCHASE,,,2024-08-07 11:20:46,,SAR,Active,2025-02-01 09:42:14,VEN-00038
9465000000348315,MASAR AL WAHA TRADING CO,MASAR AL WAHA TRADING CO,,,2024-08-06 16:41:41,,SAR,Active,2025-02-02 12:30:49,VEN-00026
9465000000348915,NATIONAL PALM TRADING CO.,NATIONAL PALM TRADING CO.,,,2024-08-06 18:00:15,,SAR,Active,2024-08-25 11:04:24,VEN-00031
9465000000353423,NABIL ADNAN HUSSEIN ASHOUR TRADING EST,NABIL ADNAN HUSSEIN ASHOUR TRADING EST,,,2024-08-06 18:55:14,,SAR,Active,2025-01-04 12:56:58,VEN-00035
9465000000686591,Main Branch,Main Branch,,,2024-08-09 19:44:16,,SAR,Active,2025-01-26 09:22:27,VEN-00044
9465000001238786,RAJ INTERNATIONAL FOODSTUFF CO.,RAJ INTERNATIONAL FOODSTUFF CO.,,,2024-08-14 22:44:51,,SAR,Active,2024-08-14 22:46:20,VEN-00048
9465000002054691,RAMA MODERN TRADING CO.,RAMA MODERN TRADING CO.,,,2024-08-21 18:03:22,,SAR,Active,2024-08-21 18:04:40,VEN-00049
9465000003356266,ARABIAN ROSE TRADING CO.,ARABIAN ROSE TRADING CO.,,,2024-09-08 15:03:41,,SAR,Active,2025-01-11 10:20:04,VEN-00059
9465000003591325,ARABIAN SAGER TRADING CO.,ARABIAN SAGER TRADING CO.,,,2024-09-17 11:58:40,,SAR,Active,2024-10-17 16:32:18,VEN-00061
